# key	english	bulgarian	french	russian
Skills/StrengthTrainingBook1	You can carry more.	Можеш да носиш повече.	Vous pouvez porter plus de poids.	Вы можете носить больше предметов.
Skills/StrengthTrainingBook2	You can carry even more.	Можеш да носиш още повече.	Vous pouvez porter encore plus de poids.	Вы можете носить еще больше предметов.
Skills/WalrusBook	Better resistance to cold.	По-добра устойчивост на студ.	Meilleure résistance au froid.	Улучшенная сопротивляемость холоду.
Skills/				
Skills/FishTemptationTechniques	Fish catch baits faster.	Рибата се лови по-бързо с примамки.	Les poissons attrapent les appâts plus rapidement.	Рыба клюет быстрее.
Skills/GroundbaitVirtuoso	You gain a chance of not losing a bait when fishing.	При риболов имаш шанс да не загубиш стръвта.	Vous avez une chance de ne pas perdre l'appât pendant la pêche.	У вас появляется шанс не потерять наживку во время рыбалки.
Skills/MaintenanceOfTheFishermansEquipment	Fishing rods wear out slower.	Въдиците издържат по-дълго.	Les cannes à pêche s'usent plus lentement.	Удочки изнашиваются медленнее.
Skills/AnimalExtractionBook	You get more of a product out of every animal (wool, milk, etc.)	Получаваш повече от всяко животно (вълна, мляко и т.н.)	Vous obtenez une plus grande quantité de produit de chaque animal (laine, lait, etc.).	Вы получаете с животных больше продуктов (шерсти, молока и т.д.).
Skills/AnimalsWhispererBook	Animals are no longer scared of you. \nUnlocks new interactions.	Животните вече не се страхуват от теб. \nОтключва нови взаимодействия.	Les animaux n'ont plus peur de vous. Débloque de nouvelles interactions.	Животные больше не боятся вас. \nОткрывает новые взаимодействия.
Skills/ClimbingBook	Stamina drains slower while climbing.	Изтощаваш се по-бавно, докато се катериш.		
Skills/WalrusBook2	Even better resistance to cold.	Още по-добра устойчивост на студ.		
Skills/PumaExpertBook	You can't be suprise attacked by pumas.	Не можеш да бъдеш изненадан от пуми.		
Letter/herbTittel	Dear Neighbor,	Скъпи съседе,	Cher voisin,	Дорогой сосед,
Letter/herbSignature	The Local Herbalist	Местният билкар	L'herboriste locale	Ваша травница
Letter/herbFirstLetter	Do you like flowers, herbs and plants in general? Are you having trouble making friends in the town? Are you tired of urban life and sad men in suits visiting your home? Do you enjoy nature?\nIf any of this is true to you (and I'm sure it is!), please come to the forest during the day. You might meet someone friendly!\n	Харесваш ли цветя, билки и растения като цяло? Имаш ли проблеми с намирането на приятели в града? Уморен ли си от градския живот и от тъжни мъже в костюми, които посещават дома ти? Наслаждаваш ли се на природата?\nАко някое от това е вярно за теб (и съм сигурна, че е!), ела в гората през деня. Може да срещнеш някой приятелски настроен!\n	Vous aimez les fleurs, herbes et autres plantes en général? Vous avez du mal à vous faire des amis en ville? Vous êtes fatigué de la vie urbaine et des hommes sinistres en costume inspectant votre maison? Vous aimez la nature?\nSi c'est vrai pour vous (et je suis sûre que ça l'est!), s'il vous plaît venez dans la forêt pendant la journée. Vous pourriez rencontrer quelqu'un d'amical!	Вам нравятся цветы, травы? Любые растения? Никак не можете завести друзей? Устали от городской жизни и унылых мужиков в костюмах, которые приходят к вам домой? Любите природу?\nЕсли ваш ответ хоть на один из вопросов – «да» (а я в этом уверена!), приходите днем в лес. Возможно, вы найдете там нового друга!
Letter/herbPill	It seems you didn't achieve what you wanted during your last trip. Take this and have better luck next time!	Изглежда, че не си постигнал това, което искаше по време на последното си пътуване. Вземи това и имай по-голям късмет следващия път!	On dirait que vous n'avez pas réalisé ce que vous vouliez lors de votre dernier voyage. Prenez ceci et bonne chance pour la prochaine fois!	Похоже, в прошлый раз вам не удалось добиться того, чего вы хотели. Удачи в следующий раз!
Letter/minutTittle	Dear Mr. Prepper,	Скъпи Препър,	Cher Mr.Prepper,	Уважаемый мистер Выживальщик,
Letter/minutSignature	Yours truly,\nThe Minuteman\n	Твоят човек,\nМинуteman\n	Sincèrement,\nLe Minuteman	Искренне ваш,\nМинитмен
Letter/minutFirstLetter	You don't know me, but your ambitions have caught my eye. You are an interesting person, Mr. Prepper. And there are not many interesting people in the town these days. \nI know that your little road trip didn't go well. Too bad! But if I may suggest something: go big. And don't stick to land route only. I'm attaching something you may find useful. It's a tried and tested design. It might seem crazy at a first glance, but Prepper, I know you can do it. \nAnd don't be afraid, your secrets are safe with me. And expect more fan mail from me soon!\n	Не ме познаваш, но амбициите ти са привлекли вниманието ми. Ти си интересен човек, господин Препър. И в града вече не са много интересните хора. \nЗнам, че малкото ти пътуване не мина добре. Жалко! Но ако мога да предложа нещо: действай на голямо. И не се ограничавай само до сухопътен маршрут. Прилагам нещо, което може да ти е полезно. Това е изпитан и тестван дизайн. Може да ти се стори лудо на пръв поглед, но Препър, знам, че можеш да го направиш. \nИ не се страхувай, тайните ти са в безопасност с мен. И очаквай още писма от мен скоро!\n	Vous ne me connaissez pas, mais vos ambitions ont attiré mon attention. Vous êtes une personne intéressante, Mr. Prepper. Et il n'y a pas beaucoup de gens intéressants en ville ces jours-ci. \nJe sais que votre petite escapade s'est mal passée. Dommage! Mais si je pouvais vous faire une suggestion: voyez les choses en grand. Et ne restez pas attaché à la voie terrestre uniquement. Je vous transmet quelque chose que vous pourriez trouver utile. C'est un design testé et approuvé. Cela peut paraître fou à première vue, mais Mr. Prepper, je sais que vous pouvez le faire. \nEt n'ayez pas peur, vos petits secrets seront bien gardés avec moi. Et attendez-vous bientôt à d'autres courriers de ma part!	Вы меня не знаете, но я знаю вас. Вы очень интересный человек, мистер Выживальщик. В наши дни таких днем с огнем не сыскать.\nЗнаю, что ваше небольшое путешествие обернулось неудачей. Очень жаль! Но, если позволите, мне бы хотелось посоветовать вам играть по-крупному. Не ограничивайтесь землей. Прилагаю к письму кое-что полезное. Я его уже опробовал. На первый взгляд это может показаться безумием, но я знаю, что вы, Выживальщик, справитесь.\nНе беспокойтесь, я сохраню ваш секрет. Я вам еще напишу!
Letter/minutLetter2	I hope my letter finds you well. Do you feel inspired by my last gift?\nI would like to start a small exchange between us, if you'll agree. From time to time, I will send you a letter or a package with some useful information or an item. And I have access to some rather curious supplies and sources, trust me!\nHowever, there are some things that are hard to obtain for me – and here is where I believe you, Mr. Prepper, would help me. \nYou can deliver me things like you would trade them on the local marketplace – I'm sure you'll figure this out.\nAs an icebreaker - I would just love, love to have a jar of blueberry jam! \n\n\n	Надявам се писмото ми да те намери в добро здраве. Вдъхнових ли те с последния си подарък?\nБих искал да започна малък обмен между нас, ако се съгласиш. От време на време ще ти изпращам писмо или пакет с полезна информация или предмет. Имам достъп до някои доста любопитни запаси и източници, вярвай ми!\nВъпреки това има някои неща, които са трудни за мен да получа – и тук вярвам, че вие, г-н Препър, бихте ми помогнали. \nМожеш да ми доставиш неща, както би ги търгувал на местния пазар – сигурен съм, че ще се справиш.\nКато ледоразбивач - бих искал, искал да имам бурканче с боровинково сладко! \n\n\n	J'espère que vous recevrez bien cette lettre. Avez-vous été inspiré par mon dernier cadeau?\nJe voudrais démarrer un petit échange avec vous, si vous êtes d'accord. De temps en temps, je vous enverrai une lettre ou un colis contenant une information ou un object utile. Et j'ai accès à des sources et des fournitures assez spéciales, croyez-moi!\nCependant, il y a certaines choses qui me sont plus difficiles à obtenir - et c'est là que je pense que vous, Mr. Prepper, pourriez m'aider. \nVous pouvez me livrer des choses comme vous le feriez sur le marché local - je suis sûr que vous comprendrez comment faire.\nPour briser la glace - j'adorerais vraiment avoir un pot de confiture de myrtilles!\n	Надеюсь, мои письма застали вас в добром здравии. Вам понравился мой последний подарок?\nЯ бы хотел предложить вам обмен. Иногда я буду высылать вам письма или посылки с полезной информацией или товарами. Поверьте, у меня есть доступ к весьма любопытным вещам!\nНо кое-что мне достать трудно, и тут, думаю, мне поможете вы, Выживальщик.\nВы можете обмениваться со мной, как если бы торговали на рынке – уверен, вы разберетесь.\nПредлагаю закрепить наше знакомство моим горячо любимым лакомством – баночкой черничного варенья!
