# key	english	bulgarian	french	russian
UI/Blueprint	Blueprint	Блупринт	Plan	Чертеж
UI/Continue	Continue	Продължи	Continuer	Продолжить
UI/Craft	Craft	Изработка	Créer	Создать
UI/Disassemble	Disassemble	Разглоби	Démonter	Разобрать
UI/Eat	Eat	Яж	Manger	Съесть
UI/EventBlackout	The electricity has been cut off!	Електричеството е спряно!	L'électricité a été coupée!	Электричество отключили!
UI/EventNoWater	The water has been cut off!	Водата е спряна!	L'eau a été coupée!	Воду отключили!
UI/EventTrade	The Postman is missing!	Пощальонът изчезна!	Le facteur est absent!	Почтальон пропал!
UI/Food	Food	Храна	Nourriture	Еда
UI/Gear	Gear	Екипировка	Équipement	Снаряжение
UI/Grab	Grab	Хвани	Prendre	ВЗЯТЬ
UI/Item	Items	Предмети	Objets	Предметы
UI/Material	Materials	Материали	Matériaux	Материалы
UI/Separate	Separate	Отдели	Séparer	РАЗДЕЛИТЬ
UI/Trade	Trade	Търговия	Échanger	Торговать
UI/Use	Use	Използвай	Utiliser	Использ.
UI/Hide	Hide	Скрий	Cacher	Спрятать
UI/Unhide	Unhide	Разкрий	Révéler	Достать
UI/LadderHide	Cover	Покрив	Recouvrir	НАКРЫТЬ
UI/LadderUnhide	Uncover	Разкрий	Découvrir	СНЯТЬ
UI/PlanHide	Turn	Смени	Retourner	ПОВЕРНУТЬ
UI/PlanUnhide	Turn	Обърни	Retourner	ПОВЕРНУТЬ
UI/				
UI/agentClock	Open the door, the Agent has arrived!	Отвори вратата, агентът пристигна!	Ouvrez la porte, l'agent est arrivé!	Открывайте дверь, пришел Агент!
UI/reportHeader	Inspection Result	Резултат от проверката	Résultat d'Investigation	Результаты расследования
UI/reportMissingItems	Essential items lacking	Липсващи основни предмети	Objets essentiels manquants	Недостающие обязательные предметы
UI/reportRedundantItems	Suspicious items	Подозрителни предмети	Objets suspects	Подозрительные предметы
UI/reportAdditionalText	We remind you to be a good citizen.	Напомняме ти да бъдеш добър гражданин.	Nous vous rappelons qu'il faut être un bon citoyen.	Просим вас быть примерным гражданином.
UI/reportNone	none	няма	aucun	нет
UI/reportNextVisit	Next visit	Следващо посещение	Prochaine visite	Следующий визит
UI/reportNextVisitDemo	- 		- 	
UI/reportConsumption	Consumption	Консумация	Consommation	Потребление
UI/reportSuspicion	Suspicion level	Ниво на подозрение	Niveau de suspicion	Уровень подозрительности
UI/reportPreparedness	Preparedness	Готовност	Préparation	Живучесть
UI/reportPositive	Result: <i>Positive score</i>	Резултат: <i>Положителна оценка</i>	Résultat: <i>Score positif</i>	Результат: <i>Хорошая оценка</i>
UI/reportNegative	Result: <i>Negative score</i>	Резултат: <i>Отрицателен резултат</i>	Résultat: <i>Score négatif</i>	Результат: <i>Плохая оценка</i>
UI/reportGrade	Grade	Оценка	rang	Оценка
UI/reportResult	Result:	Резултат:	Résultat:	Результат:
UI/reportItemRedundant	Too many:	Прекалено много:	Trop nombreux:	Слишком много:
UI/reportItemMissing	Too little:	Твърде малко:	Trop peu:	Слишком мало:
UI/reportAnyItem	any	всякакъв	n'importe quel	любой(ая)
UI/reportGradeTooltip	The grade depends on the result of the visit.	Оценката зависи от резултата на посещението.	Le rang dépend du résultat de la visite.	Оценка зависит от результатов проверки.
UI/reportSuspicionTooltip	The suspicion level depends on the results from all visits.\nIf the Agent doesn't suspect anything, you get a buff.\nIf the Agent suspects something, you get a debuff.	Нивото на подозрение зависи от резултатите от всички посещения.\nАко агентът не подозира нищо, получаваш бонус.\nАко агентът подозира нещо, получаваш наказание.	Le niveau de suspicion dépend des résultats de toutes les visites.\nSi l'agent ne soupçonne rien, vous obtenez un bonus.\nSi l'agent suspecte quelque chose, vous obtenez un malus.	Уровень подозрительности зависит от результатов всех посещений.\nЕсли Агент ничего не заподозрит, вы получите временный бонус.\nЕсли Агент начнет что-то подозревать, вы получите временный штраф.
UI/reportConsumptionTooltip	Keep consumption below suspect values	Дръж консумацията под подозрителни стойности	Maintenez la consommation en dessous des valeurs suspectes	Потребление не должно превышать стандартные показатели
UI/reportWaterTooltip	Average daily water consumption	Средно дневно потребление на вода	Consommation moyenne d'eau par jour	Среднее потребление воды в день
UI/reportElectricityTooltip	Electricity consumption	Консумация на електричество	Consomation électrique	Потребление электричества
UI/reportNextVisitTooltip	The agent will visit you on:	Агентът ще те посети на:	L'agent vous rendra visite le:	Агент придет к вам:
UI/reportNextVisitTooltipDay	day	ден	jour	день
UI/reportNextVisitTooltipMonth	month	месец	mois	месяц
UI/reportManualHeader	Citizen Inspection Protocol	Протокол за проверка на гражданите	Protocole d'inspection des citoyens	Протокол инспекции граждан
